p_l_0_depth,p_l_1_depth,p_l_2_depth,p_r_0_depth,p_r_1_depth,p_r_2_depth,p_l_0[x],p_l_0[y],p_l_0[z],p_l_1[x],p_l_1[y],p_l_1[z],p_l_2[x],p_l_2[y],p_l_2[z],p_r_0[x],p_r_0[y],p_r_0[z],p_r_1[x],p_r_1[y],p_r_1[z],p_r_2[x],p_r_2[y],p_r_2[z],t_r_l(0,0),t_r_l(1,0),t_r_l(2,0),t_r_l(3,0),t_r_l(0,1),t_r_l(1,1),t_r_l(2,1),t_r_l(3,1),t_r_l(0,2),t_r_l(1,2),t_r_l(2,2),t_r_l(3,2),t_r_l(0,3),t_r_l(1,3),t_r_l(2,3),t_r_l(3,3),
1.237388,1.600393,1.431061,1.870073,1.534092,2.017107,0.132786,-0.608429,-1.237388,0.506441,-0.502198,-1.600393,-0.063109,-0.557402,-1.431061,-0.578131,-0.132595,-1.870073,-0.207540,-0.293317,-1.534092,-0.371461,-0.044445,-2.017107,-0.006985,-0.481796,0.876256,0.000000,0.226383,0.852764,0.470684,0.000000,-0.974013,0.201657,0.103114,0.000000,-1.644698,0.699755,-1.572458,1.000000,0.705342,0.707586,-0.042606,0.000000,-0.305899,0.358047,0.882172,0.000000,0.639468,-0.609200,0.468995,0.000000,1.182071,-1.114495,0.969395,1.000000,
1.237388,1.600393,1.431061,1.870073,1.534092,2.017107,0.132786,-0.608429,-1.237388,0.506441,-0.502198,-1.600393,-0.063109,-0.557402,-1.431061,-0.578131,-0.132595,-1.870073,-0.207540,-0.293317,-1.534092,-0.371461,-0.044445,-2.017107,-0.006985,-0.481796,0.876256,0.000000,0.226383,0.852764,0.470684,0.000000,-0.974013,0.201657,0.103114,0.000000,-1.644698,0.699755,-1.572458,1.000000,0.705342,0.707586,-0.042606,0.000000,-0.305899,0.358047,0.882172,0.000000,0.639468,-0.609200,0.468995,0.000000,1.182071,-1.114495,0.969395,1.000000,
1.237432,1.599519,1.431221,1.868768,1.533983,2.014889,0.132791,-0.608451,-1.237432,0.506164,-0.501924,-1.599519,-0.063116,-0.557464,-1.431221,-0.577728,-0.132503,-1.868768,-0.207525,-0.293296,-1.533983,-0.371052,-0.044396,-2.014889,-0.005354,-0.484220,0.874930,0.000000,0.226633,0.851588,0.472689,0.000000,-0.973966,0.200818,0.105181,0.000000,-1.644339,0.698446,-1.567188,1.000000,0.705968,0.706944,-0.042900,0.000000,-0.306628,0.359683,0.881253,0.000000,0.638427,-0.608982,0.470694,0.000000,1.179300,-1.113765,0.971601,1.000000,
1.237870,1.598207,1.430838,1.872475,1.534133,2.020217,0.132838,-0.608666,-1.237870,0.505749,-0.501512,-1.598207,-0.063099,-0.557315,-1.430838,-0.578874,-0.132766,-1.872475,-0.207546,-0.293324,-1.534133,-0.372033,-0.044514,-2.020217,-0.006605,-0.480439,0.877004,0.000000,0.228888,0.853013,0.469020,0.000000,-0.973430,0.203834,0.104332,0.000000,-1.643660,0.702574,-1.574348,1.000000,0.704088,0.708784,-0.043428,0.000000,-0.304440,0.356544,0.883285,0.000000,0.641542,-0.608689,0.466821,0.000000,1.187431,-1.113922,0.966241,1.000000,
1.237828,1.599805,1.431277,1.871620,1.534442,2.013930,0.132833,-0.608646,-1.237828,0.506255,-0.502014,-1.599805,-0.063119,-0.557486,-1.431277,-0.578610,-0.132705,-1.871620,-0.207587,-0.293384,-1.534442,-0.370876,-0.044375,-2.013930,-0.006544,-0.486855,0.873458,0.000000,0.220962,0.851182,0.476094,0.000000,-0.975260,0.196116,0.102007,0.000000,-1.650458,0.692792,-1.571605,1.000000,0.704744,0.707732,-0.049514,0.000000,-0.305203,0.365438,0.879378,0.000000,0.640458,-0.604625,0.473542,0.000000,1.184964,-1.105433,0.974340,1.000000,
1.237854,1.600033,1.430817,1.871068,1.534354,2.018221,0.132836,-0.608659,-1.237854,0.506327,-0.502085,-1.600033,-0.063098,-0.557307,-1.430817,-0.578439,-0.132666,-1.871068,-0.207576,-0.293367,-1.534354,-0.371666,-0.044470,-2.018221,-0.006800,-0.480826,0.876790,0.000000,0.227968,0.852976,0.469535,0.000000,-0.973645,0.203073,0.103812,0.000000,-1.644012,0.701751,-1.573247,1.000000,0.704981,0.707922,-0.042981,0.000000,-0.305479,0.357786,0.882424,0.000000,0.640066,-0.608962,0.468488,0.000000,1.183869,-1.114254,0.968778,1.000000,
1.238204,1.599704,1.430717,1.870166,1.534091,2.017603,0.132874,-0.608831,-1.238204,0.506223,-0.501982,-1.599704,-0.063094,-0.557268,-1.430717,-0.578160,-0.132602,-1.870166,-0.207540,-0.293317,-1.534091,-0.371552,-0.044456,-2.017603,-0.005851,-0.480589,0.876927,0.000000,0.230155,0.852751,0.468875,0.000000,-0.973137,0.204572,0.105620,0.000000,-1.642199,0.703739,-1.570441,1.000000,0.705292,0.707663,-0.042162,0.000000,-0.305840,0.357392,0.882458,0.000000,0.639551,-0.609495,0.468497,0.000000,1.182283,-1.115124,0.968807,1.000000,
1.237972,1.599977,1.430891,1.870166,1.534091,2.017603,0.132849,-0.608717,-1.237972,0.506310,-0.502068,-1.599977,-0.063102,-0.557335,-1.430891,-0.578160,-0.132602,-1.870166,-0.207540,-0.293317,-1.534091,-0.371552,-0.044456,-2.017603,-0.006254,-0.480848,0.876782,0.000000,0.229025,0.852804,0.469331,0.000000,-0.973400,0.203740,0.104793,0.000000,-1.642960,0.702619,-1.571224,1.000000,0.705292,0.707663,-0.042162,0.000000,-0.305840,0.357392,0.882458,0.000000,0.639551,-0.609495,0.468497,0.000000,1.182283,-1.115124,0.968807,1.000000,
1.238295,1.599735,1.430968,1.871520,1.533891,2.018290,0.132883,-0.608876,-1.238295,0.506233,-0.501992,-1.599735,-0.063105,-0.557365,-1.430968,-0.578579,-0.132698,-1.871520,-0.207513,-0.293278,-1.533891,-0.371678,-0.044471,-2.018290,-0.006861,-0.480696,0.876860,0.000000,0.228034,0.853025,0.469413,0.000000,-0.973629,0.203175,0.103763,0.000000,-1.644462,0.702155,-1.573737,1.000000,0.704439,0.708389,-0.044152,0.000000,-0.304849,0.358152,0.882493,0.000000,0.640962,-0.608203,0.468248,0.000000,1.185694,-1.112679,0.967896,1.000000,
1.237856,1.600148,1.431496,1.870947,1.533923,2.019560,0.132836,-0.608660,-1.237856,0.506364,-0.502122,-1.600148,-0.063128,-0.557571,-1.431496,-0.578402,-0.132657,-1.870947,-0.207517,-0.293284,-1.533923,-0.371912,-0.044499,-2.019560,-0.007220,-0.479826,0.877334,0.000000,0.228371,0.853380,0.468605,0.000000,-0.973547,0.203741,0.103417,0.000000,-1.643554,0.702701,-1.574253,1.000000,0.704765,0.708233,-0.041375,0.000000,-0.305228,0.355347,0.883496,0.000000,0.640423,-0.610029,0.466609,0.000000,1.184344,-1.116348,0.966271,1.000000,
